combination,r2,adj_r2,q2,mae,rmsd,threshold,model,predictions
"['loc_B5_6-7', 'B1_6-4', 'loc_B5_6-4']",0.874280972381305,0.8452688890846831,0.8140260381772289,0.20797220793402194,0.24937190416973382,0.7,<modeling.LinearRegressionModel object at 0x0000019B11835FD0>,"[-1.16984196  0.03717952 -0.61353445 -0.82151983 -0.5435941  -0.84634125
 -0.26158349 -1.58955927 -1.01677184 -1.6062087  -1.64106651 -0.67033609
 -1.10579936 -1.22115646 -0.94698267  0.1327587  -0.06564225]"
"['loc_B5_6-7', 'B1_6-4', 'loc_B5_6-4']",0.874280972381305,0.8452688890846831,0.8140260381772289,0.20797220793402194,0.24937190416973382,0.7,<modeling.LinearRegressionModel object at 0x0000019B12B3B490>,"[-1.16984196  0.03717952 -0.61353445 -0.82151983 -0.5435941  -0.84634125
 -0.26158349 -1.58955927 -1.01677184 -1.6062087  -1.64106651 -0.67033609
 -1.10579936 -1.22115646 -0.94698267  0.1327587  -0.06564225]"
"['loc_B5_6-7', 'B1_6-4', 'loc_B5_6-4']",0.874280972381305,0.8452688890846831,0.8140260381772289,0.20797220793402194,0.24937190416973382,0.7,<modeling.LinearRegressionModel object at 0x0000027B581217D0>,"[-1.16984196  0.03717952 -0.61353445 -0.82151983 -0.5435941  -0.84634125
 -0.26158349 -1.58955927 -1.01677184 -1.6062087  -1.64106651 -0.67033609
 -1.10579936 -1.22115646 -0.94698267  0.1327587  -0.06564225]"
"['loc_B5_6-7', 'B1_6-4', 'loc_B5_6-4']",0.874280972381305,0.8452688890846831,0.8140260381772289,0.20797220793402194,0.24937190416973382,0.7,<modeling.LinearRegressionModel object at 0x000002AC384E0AD0>,"[-1.16984196  0.03717952 -0.61353445 -0.82151983 -0.5435941  -0.84634125
 -0.26158349 -1.58955927 -1.01677184 -1.6062087  -1.64106651 -0.67033609
 -1.10579936 -1.22115646 -0.94698267  0.1327587  -0.06564225]"
"['loc_B5_6-7', 'B1_6-4', 'loc_B5_6-4']",0.874280972381305,0.8452688890846831,0.8140260381772289,0.20797220793402194,0.24937190416973382,0.7,<modeling.LinearRegressionModel object at 0x0000017807268CD0>,"[-1.16984196  0.03717952 -0.61353445 -0.82151983 -0.5435941  -0.84634125
 -0.26158349 -1.58955927 -1.01677184 -1.6062087  -1.64106651 -0.67033609
 -1.10579936 -1.22115646 -0.94698267  0.1327587  -0.06564225]"
"['cm5_atom_5', 'L_6-7', 'B1_2-17']",0.7758564285030951,0.7241309889268863,0.658000155811625,0.26718460236113245,0.3381694756570707,0.7,<modeling.LinearRegressionModel object at 0x00000178095E8850>,"[-0.73070608  0.17722464 -0.80676862 -0.85065009 -1.02283939 -0.6074139
 -0.60458031 -0.98705711 -1.00729818 -1.86678049 -1.3939799  -0.57192192
 -1.21649778 -1.19153784 -1.14913454 -0.34781801  0.22775951]"
