combination,r2,adj_r2,q2,mae,rmsd,threshold,model,predictions
"['dipole_y_{23,24,25,26,27,28}-23-1', 'nbo_atom_3', 'cm5_atom_1']",0.939241052958,0.9262212785918571,0.8863192728970768,0.11097294428392972,0.1426055968275587,0.7,<modeling.LinearRegressionModel object at 0x0000019B30492A10>,"[ 0.13822789  0.08121169  1.17372209  0.61402816 -0.37599127  1.26091027
  0.78848797  0.27385421  0.68504949  1.06029116  0.92583593  0.76523944
  0.42360852  0.09609622  0.4210613   0.66932721  0.43630808  0.67853165]"
"['dipole_y_{23,24,25,26,27,28}-23-1', 'nbo_atom_3', 'cm5_atom_1']",0.939241052958,0.9262212785918571,0.8863192728970768,0.11097294428392972,0.1426055968275587,0.7,<modeling.LinearRegressionModel object at 0x000001782A204CD0>,"[ 0.13822789  0.08121169  1.17372209  0.61402816 -0.37599127  1.26091027
  0.78848797  0.27385421  0.68504949  1.06029116  0.92583593  0.76523944
  0.42360852  0.09609622  0.4210613   0.66932721  0.43630808  0.67853165]"
