combination,r2,adj_r2,q2,mae,rmsd,threshold,model,predictions
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'cm5_diff_3-1')",0.8207775797843826,0.7823727754524645,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.18311615  0.17713501  0.81722434  0.55632285 -0.15183587  1.1712084
  0.80871175  0.44848357  0.69579138  1.05459628  0.93545682  0.77600628
  0.3418225  -0.02526526  0.11468843  0.84948515  0.38043802  0.98241421]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'B1_1-23')",0.49885596652355046,0.39146795935002554,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.42057736  0.25285346  0.57137459  0.67655593  0.23938551  1.01882807
  0.8252818   0.6336433   0.70099532  0.99909586  0.92241565  0.74038075
 -0.04906396  0.11898383  0.24720249  0.43146577  0.72286115  0.64296311]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'B5_1-23')",0.49593628201551,0.38792262816169065,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.33531901  0.22416574  0.57488615  0.69232372  0.16332866  1.00330841
  0.82162731  0.57316274  0.6397097   0.98180161  0.88802224  0.74656122
 -0.09257195  0.35644048  0.26483567  0.44139286  0.86385978  0.63762665]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'L_1-23')",0.4875907711689025,0.3777887935622387,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.41429694  0.2660557   0.53759095  0.6718002   0.18041432  1.0233765
  0.82341664  0.66147411  0.60815261  1.01129968  0.90436487  0.77078787
 -0.06566634  0.27846785  0.21687091  0.43379948  0.73432733  0.64497039]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'loc_B5_1-23')",0.4850884426446709,0.3747502517828146,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.37973551  0.24156678  0.5609278   0.71786497  0.21829935  1.01421159
  0.83667254  0.60556902  0.66557241  0.99314092  0.90042501  0.76959804
 -0.1166585   0.3498372   0.24473059  0.42551466  0.70751382  0.60127829]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'B1_B5_angle_1-23')",0.5225881937458373,0.42028566383423105,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.39572223 0.21811669 0.53653679 0.42995198 0.23393212 1.09180787
 0.80138895 0.64223457 0.67285694 1.06864352 0.9300404  0.82657138
 0.01633321 0.19736139 0.23910778 0.49467999 0.78957103 0.53094318]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'B1_1-3')",0.5104989929025892,0.405605919953144,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 4.13406137e-01  2.22044605e-16  5.64727038e-01  6.69086724e-01
  2.55970846e-01  1.00490206e+00  8.52750862e-01  6.24050059e-01
  6.89789160e-01  9.85398083e-01  9.08722493e-01  7.78196449e-01
 -4.80523923e-02  3.55453546e-01  2.60402599e-01  4.35740282e-01
  7.20263521e-01  6.44992539e-01]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'B5_1-3')",0.48324443228107494,0.3725110963413053,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.38106957  0.28035944  0.53478704  0.6892787   0.21757946  1.02247569
  0.8438632   0.60898012  0.67063627  1.00077881  0.90769513  0.77519115
 -0.0884054   0.31544883  0.21766687  0.42396776  0.71150063  0.60292672]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'L_1-3')",0.5423531670141282,0.4442859885171556,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.32052747 0.27633263 0.51815707 0.56767037 0.10912373 1.06483201
 0.89853326 0.59169304 0.68454743 1.04861715 0.9686049  0.77729304
 0.22297675 0.25962935 0.11029958 0.24652178 0.77882785 0.67161259]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'loc_B5_1-3')",0.6257631077252603,0.5455694879521018,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.2265857   0.06178238  0.75796001  0.75200086  0.06683429  0.99633371
  0.71003829  0.50151655  0.92563733  0.9753577   0.80919982  0.69411393
 -0.12146938  0.14560265  0.43902304  0.74074468  0.69634597  0.73819245]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'B1_B5_angle_1-3')",0.5560017901498755,0.4608593166105631,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.26977732 0.50366246 0.50100071 0.58019015 0.03719097 1.10233132
 0.9029409  0.56104019 0.62045581 1.062329   0.97280058 0.78203122
 0.17270932 0.20064803 0.10969668 0.38710208 0.6664716  0.68342167]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'B1_23-1')",0.5384694311312268,0.43957002351648966,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.28491922 0.46586505 0.50575406 0.60730619 0.08146492 1.08677332
 0.89064308 0.58450034 0.64498958 1.06297636 0.94954164 0.77296532
 0.15133177 0.2208044  0.09459204 0.35213812 0.6753969  0.68383769]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'B5_23-1')",0.4995192733332645,0.3922734033332498,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.36960079 0.2074483  0.5331104  0.6294954  0.1859978  1.02282554
 0.8563129  0.6043097  0.67800195 1.00880577 0.92554891 0.77602746
 0.04510146 0.3216775  0.17974506 0.31441627 0.8266873  0.63068748]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'L_23-1')",0.48322569704188023,0.37248834640799744,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.38077455  0.27728896  0.53448179  0.6866991   0.21685945  1.02184164
  0.84389873  0.60898496  0.67056747  1.0009801   0.90814617  0.77493321
 -0.08404151  0.31634666  0.21634173  0.41928857  0.71884008  0.60356834]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'loc_B5_23-1')",0.5098150881225043,0.4047754641487552,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.37100711 0.15267052 0.54781124 0.61932188 0.1799497  1.02265363
 0.85597711 0.60135105 0.68383555 1.00784246 0.926558   0.78204523
 0.07620886 0.33050044 0.1862901  0.28712342 0.84645865 0.63819506]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'B1_B5_angle_23-1')",0.48369282192278484,0.3730555694776674,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.38445993  0.25835475  0.53561006  0.67811972  0.22232244  1.0200169
  0.84979838  0.6107441   0.67785586  1.00156237  0.91399896  0.77707008
 -0.07008388  0.32068746  0.21588684  0.39828312  0.72633611  0.5947768 ]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'B1_3-1')",0.5080614365257523,0.40264603006698496,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.33530217 0.19172678 0.53013748 0.68335249 0.13717815 1.00509464
 0.87211491 0.56777707 0.68700215 0.98541901 0.92643022 0.75017186
 0.05732485 0.37854465 0.17304507 0.31199486 0.84459653 0.6785871 ]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'B5_3-1')",0.48887632403859593,0.3793498220468665,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.32882861  0.28385478  0.55833903  0.71502615  0.20794081  1.00341206
  0.86597621  0.55908355  0.73319397  0.97826801  0.87970608  0.77987993
 -0.12211642  0.35414186  0.24639187  0.44041264  0.73451072  0.56895013]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'L_3-1')",0.5305417376906367,0.42994353862434465,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.4076851   0.33201207  0.57397634  0.53008556 -0.00845945  1.00798849
  0.76199657  0.66925537  0.56809541  1.13216963  0.85346122  0.85553875
  0.01962097  0.29401387  0.22194701  0.46456126  0.8156778   0.61617404]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'loc_B5_3-1')",0.5017295183933776,0.3949572723348157,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.4387405   0.23487699  0.57589271  0.69841517  0.0588923   1.00313211
  0.80647598  0.68669672  0.61707344  0.98042288  0.85876384  0.7519299
 -0.11178031  0.34414156  0.26693388  0.48587268  0.78509666  0.63422299]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'B1_B5_angle_3-1')",0.5363130005567414,0.43695150067604305,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.44187571  0.07363001  0.59197371  0.78841482 -0.00763112  0.98155301
  0.85090497  0.68208119  0.67784539  0.95706705  0.85564541  0.81852726
 -0.06457031  0.48393543  0.30044689  0.41083842  0.61617941  0.65708278]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', '0_dihedral_[23, 1, 3, 8]')",0.6050980655128826,0.5204762224085002,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.2304789  0.38104204 0.54278276 0.55852522 0.00316537 1.08532042
 0.93995506 0.55735321 0.66338095 1.07974854 1.00112737 0.7519066
 0.3392762  0.16648374 0.06127698 0.31709153 0.67701033 0.75987476]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', '0_angle_[23, 1, 3]')",0.6577658791994642,0.584429996170778,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.29400043  0.0056971   0.63304254  0.4960569  -0.00987435  1.08077104
  0.90280204  0.53785621  0.72222303  1.04209941  0.9791211   0.81742143
  0.43724149  0.22623666  0.13974835  0.23256316  0.80510167  0.77369178]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', '0_dihedral_[23, 1, 2, 3]')",0.7522203206034572,0.6991246750184837,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.28017535 -0.32254531  0.81441792  0.53140328 -0.00515227  1.05360755
  0.81432282  0.49101131  0.77706109  1.00386526  0.91228101  0.81416018
  0.36222035  0.17290866  0.251031    0.51876465  0.75389048  0.89237667]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', '0_bond_length_1-2')",0.5254197967002776,0.42372403885033705,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.28680694 0.46490744 0.55992287 0.62965324 0.08572667 1.05496427
 0.84532194 0.5792999  0.64293    1.03915603 0.90254957 0.78687598
 0.08873225 0.22659123 0.11326947 0.34531502 0.79675439 0.66702281]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', '0_bond_length_1-23')",0.48500334094100506,0.3746469139997919,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.39575281  0.21074582  0.53340658  0.68524325  0.21948083  1.0127278
  0.84718392  0.61514653  0.67367704  0.99470817  0.90783647  0.77975739
 -0.073159    0.32930895  0.23083558  0.40672788  0.7334257   0.61299426]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', '0_bond_length_1-3')",0.4954428730205023,0.3873234886677528,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.36677923  0.2864344   0.55155235  0.70251776  0.23358402  1.03775013
  0.81463434  0.58584746  0.66492041  0.99675831  0.89781005  0.74825086
 -0.1659108   0.30048788  0.23823037  0.57692037  0.65446411  0.62476875]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', '0_bond_length_3-8')",0.8408913561612765,0.8067966467672644,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.1554329   0.18378582  0.85193814  0.5444557  -0.1867199   1.19883829
  0.80203207  0.42987747  0.68045276  1.06769097  0.94047752  0.76386266
  0.36604551 -0.00794221  0.13764066  0.83286657  0.3803525   0.97471256]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'aniso')",0.5749296414223452,0.4838431360128477,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.41673502 0.28775099 0.62313186 0.57230917 0.00399743 1.06627766
 0.84909004 0.59017516 0.58393686 1.03341802 0.93307572 0.89684
 0.2469296  0.19230673 0.13847351 0.18957865 0.80943232 0.68234125]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'iso')",0.5079051890148596,0.4024563009466152,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.49974326  0.29360359  0.57768707  0.59000549  0.2002785   1.05825611
  0.78629628  0.64873429  0.57636838  1.03560839  0.92676559  0.83489872
 -0.03664582  0.14377424  0.21330278  0.44776848  0.70726764  0.61208703]"
"('dipole_x_2-1-23', 'dipole_z_2-1-23', 'energy')",0.5132325992531042,0.4089252990930551,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.32216079  0.28052507  0.43438324  0.56510426  0.22153405  1.10714421
  0.90189963  0.55176797  0.71612345  0.96829532  0.97653363  0.68955535
 -0.03041332  0.29536036  0.1817745   0.60559208  0.71153493  0.61692446]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'dipole_x_{23,24,25,26,27,28}-23-1')",0.5425926546720545,0.4445767949589233,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.28924573 0.1268117  0.46462742 0.80030704 0.1862429  1.09206532
 0.72537831 0.55725668 0.53672787 1.068045   0.83070324 0.76707915
 0.21316177 0.16623054 0.0848158  0.7201615  0.7565828  0.7303572 ]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'dipole_y_{23,24,25,26,27,28}-23-1')",0.5587277053029327,0.46416935643927537,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.2479615  0.08824709 0.41498582 0.86952225 0.14630182 1.05748819
 0.88841221 0.52884872 0.65905615 1.02996084 0.93231806 0.73505824
 0.40509734 0.16987432 0.06960341 0.58757221 0.68685821 0.59863361]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'dipole_z_{23,24,25,26,27,28}-23-1')",0.5510694540938843,0.4548700513997167,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.31700926 0.12794846 0.39203877 0.67883119 0.16035886 1.07170478
 0.83391399 0.54870441 0.61440882 1.04922851 0.89273243 0.7620484
 0.21255428 0.17621309 0.07561124 0.7181895  0.71128619 0.77301781]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'nbo_atom_8')",0.8138955518648762,0.7740160272644925,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.19905774  0.34572073  0.8669271   0.71331416 -0.18458644  1.24417665
  0.83445251  0.41428531  0.69347146  1.11920295  0.97959511  0.7820328
  0.43500354 -0.00166894  0.19265329  0.79226696  0.20441181  0.48548329]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'nbo_atom_1')",0.8502653122920292,0.8181793077831783,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.26687474  0.14270629  0.97380633  0.72751789 -0.2606424   1.20484886
  0.80062396  0.46335837  0.75013476  1.08424352  0.98360809  0.84383744
  0.61453767 -0.03754853  0.21037578  0.58727727  0.33923761  0.42100236]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'nbo_atom_23')",0.8384390182516466,0.8038188078769994,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.21454515 -0.01382528  0.91443245  0.71912386 -0.2634191   1.1944706
  0.86310201  0.37514928  0.73077243  1.09824472  1.01107767  0.79966849
  0.67947165  0.11117526  0.30038576  0.45843885  0.48464495  0.43834125]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'nbo_atom_3')",0.8960507086631323,0.8737758605195178,0.8086909514175098,0.14662836605680335,0.18499538959258227,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.2023607   0.24428841  1.07320073  0.70068909 -0.32993721  1.23824367
  0.77532504  0.4089703   0.72963224  1.06313514  0.9496165   0.80095808
  0.43353406 -0.01601871  0.27149286  0.76099853  0.25978548  0.54952511]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'hirshfeld_atom_8')",0.5535110657114585,0.457834865506771,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.25523244 0.15177817 0.46645885 0.80650169 0.18239018 1.07292824
 0.76053549 0.53447205 0.5756968  1.03846296 0.84620141 0.7465749
 0.1348492  0.16116102 0.11503041 0.80989708 0.68619284 0.77143628]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'hirshfeld_atom_1')",0.5589647585679098,0.46445720683246194,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.24162899 -0.03482934  0.45657847  0.79125255  0.17673105  1.07284132
  0.81724991  0.47437068  0.58437384  1.03391246  0.8645782   0.73083177
  0.24573207  0.25262759  0.18546807  0.63450428  0.82126403  0.76668406]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'hirshfeld_atom_23')",0.8041719352157368,0.7622087784762519,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.34628815 -0.27324222  0.8443569   0.72169425 -0.18233681  1.12859195
  0.85666843  0.45153611  0.78488768  1.03712842  0.98916091  0.82687805
  0.59498956  0.14508274  0.33484866  0.52211502  0.50863493  0.47851727]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'hirshfeld_atom_3')",0.8911992439109421,0.8678847961775725,0.7910581080553067,0.15684999674511796,0.19333296465400593,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.21170417  0.2308567   1.0756557   0.6973     -0.29859287  1.2248399
  0.7579501   0.39251799  0.73815757  1.03851976  0.92925247  0.79248276
  0.31219594 -0.0258136   0.30781346  0.84914153  0.24385714  0.63796128]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'cm5_atom_8')",0.6073742984258361,0.5232402195170867,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.23241489 0.24194564 0.58063387 0.7790582  0.12412925 1.08859372
 0.75019486 0.49994567 0.58817106 1.03220604 0.84594477 0.73774289
 0.04143065 0.10624195 0.14687165 0.93578167 0.56781447 0.81667875]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'cm5_atom_1')",0.5953194495486633,0.5086021887376626,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.18951143 -0.06746563  0.51837109  0.76420165  0.1134149   1.09209462
  0.86172649  0.40070381  0.58304359  1.03977489  0.88379562  0.70967624
  0.3322662   0.289744    0.23040883  0.5215341   0.89212493  0.76087324]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'cm5_atom_23')",0.8248541575385662,0.7873229055825446,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.32003535 -0.20543279  0.8997062   0.72170822 -0.21762509  1.14288133
  0.85599467  0.44137463  0.77463535  1.0481137   0.99388391  0.82446744
  0.63634169  0.1192271   0.30883388  0.499316    0.50365072  0.44868769]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'cm5_atom_3')",0.8943409211230057,0.8716996899350783,0.8049819214507419,0.14869399042146084,0.1867800923528738,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.20615718  0.24507701  1.07492487  0.6979027  -0.31583739  1.23424119
  0.76275411  0.39368509  0.73720027  1.04898141  0.93767283  0.7966995
  0.36486545 -0.02841637  0.29649179  0.80761447  0.25221047  0.60357544]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'nbo_diff_8-3')",0.9167848482365722,0.898953030001552,0.8528706047849555,0.13520635454746277,0.16223437278937958,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.20777975  0.18474843  1.13990568  0.7015709  -0.37393377  1.22584074
  0.74499964  0.41489347  0.73909282  1.03397018  0.92902843  0.80827142
  0.4230727  -0.01198464  0.30089618  0.74006812  0.31686478  0.59071518]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'nbo_diff_8-1')",0.8514086423342541,0.8195676371201657,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.24708865  0.20303506  0.96348481  0.71972707 -0.25507202  1.22100286
  0.81144959  0.44557884  0.74004477  1.09550211  0.98697229  0.82885968
  0.57485095 -0.03502557  0.20987771  0.64386485  0.28470788  0.42985048]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'nbo_diff_3-1')",0.8846317302296105,0.8599099581359556,0.7630549285224493,0.16501290384816109,0.20588134134024097,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.23192705  0.1985122   1.04469083  0.7100308  -0.31173504  1.22670499
  0.78762275  0.43109755  0.74425758  1.07359898  0.96881348  0.8230887
  0.52670237 -0.03230186  0.24733871  0.67876443  0.28401306  0.48267342]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'hirshfeld_diff_8-3')",0.6195072652181262,0.5379731077648675,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.26762576 0.08780978 0.52561342 0.82026102 0.02161135 1.15126567
 0.8066546  0.54229072 0.6350588  1.09429183 0.9242528  0.80335065
 0.59626576 0.13708419 0.09405368 0.44147235 0.6870965  0.47974113]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'hirshfeld_diff_8-1')",0.5496479981021998,0.4531439976955284,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.2583038  0.16047181 0.45675113 0.81140378 0.18286915 1.07493212
 0.75930967 0.54340761 0.57534892 1.0428893  0.84834869 0.75087061
 0.15498565 0.15647706 0.10305764 0.79652569 0.68596619 0.75388118]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'hirshfeld_diff_3-1')",0.8496215515536975,0.817397598315204,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.2293985   0.3133601   0.99858562  0.72665791 -0.25581787  1.21870642
  0.73555872  0.45204029  0.72088817  1.05389695  0.92310201  0.80739671
  0.32411752 -0.05543682  0.23118658  0.86202446  0.23470276  0.59543198]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'cm5_diff_8-3')",0.7312894035210044,0.6737085614183624,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.26414372  0.04111705  0.7215844   0.78574549 -0.1479291   1.20052832
  0.80505844  0.50029997  0.69543357  1.08880021  0.95232891  0.82591573
  0.70091806  0.10737403  0.17024293  0.39771188  0.58669202  0.41983435]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'cm5_diff_8-1')",0.582381171169936,0.4928914221349223,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.25050211 0.23826707 0.52684367 0.79809255 0.14784644 1.08570698
 0.74493633 0.53390947 0.58476378 1.04079771 0.84737248 0.75033608
 0.08934335 0.10701075 0.11217012 0.89507759 0.58780447 0.77501904]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'cm5_diff_3-1')",0.8564837559496492,0.8257302750817169,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.23265122  0.29663831  1.00681815  0.72336001 -0.26659948  1.22271603
  0.73708256  0.44994999  0.72652784  1.0549419   0.92716336  0.810513
  0.34086528 -0.05294078  0.239904    0.84968207  0.23108662  0.58543995]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'B1_1-23')",0.5375195167178113,0.43841655601448515,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.26637689 0.12079914 0.41860924 0.82400477 0.1835696  1.08205324
 0.77571751 0.55450055 0.57854804 1.05728778 0.86375377 0.75955533
 0.2720822  0.16784169 0.08763794 0.67951781 0.7372312  0.68671329]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'B5_1-23')",0.5397595846769011,0.4411366385362371,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.24780643 0.10193621 0.43409523 0.83182106 0.1613485  1.07410655
 0.76560447 0.53977004 0.56406805 1.04914993 0.85410433 0.74926549
 0.2655658  0.19395709 0.10940017 0.68475579 0.80014914 0.68889571]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'L_1-23')",0.5417104459384494,0.4435055414966885,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.21785461 0.11874659 0.4092139  0.83371071 0.21682596 1.08392942
 0.79853886 0.49116216 0.64067046 1.0491871  0.86670304 0.76317508
 0.2726048  0.20310394 0.07372313 0.68592633 0.71728127 0.67344264]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'loc_B5_1-23')",0.5615331721431136,0.4675759947452094,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 0.23783185 -0.03392112  0.50743308  0.92578562  0.17441969  1.0604647
  0.75025173  0.52847927  0.55144529  1.03503695  0.83476251  0.73644639
  0.19648934  0.27711232  0.16712043  0.73247332  0.6968608   0.73730781]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'B1_B5_angle_1-23')",0.5835499731663076,0.49431068170194503,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.29425372 0.09600797 0.46255984 0.47568058 0.19300757 1.12996326
 0.77493747 0.58911021 0.61519179 1.1039658  0.90766262 0.80850584
 0.26789466 0.0875429  0.12470409 0.69025439 0.78794651 0.70661078]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'B1_1-3')",0.5431509049296264,0.4452546702716892,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[ 2.87926066e-01 -1.11022302e-15  4.34086690e-01  8.22981997e-01
  2.05060180e-01  1.07211054e+00  7.79601587e-01  5.64978142e-01
  5.88404857e-01  1.04822594e+00  8.63356579e-01  7.63772910e-01
  2.74441752e-01  2.01460686e-01  1.15723175e-01  6.73209267e-01
  7.39824430e-01  6.80635199e-01]"
"('dipole_x_2-1-23', 'total_dipole_2-1-23', 'B5_1-3')",0.5472684413376661,0.45025453591002307,-inf,inf,inf,0.85,<modeling.LinearRegressionModel object at 0x0000026F0D6BDD50>,"[0.25451106 0.20462836 0.42084458 0.83754624 0.17556699 1.09876322
 0.78533665 0.54621924 0.58048601 1.06069682 0.86433433 0.76308716
 0.22047457 0.14211532 0.08905383 0.74221241 0.6132588  0.71666441]"
