combination,r2,adj_r2,q2,mae,rmsd,threshold,model,predictions
"('cross_12_0', 'para_12_0', 'nbo_atom_8')",0.5189228070259632,0.4158348371029552,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[ 0.26457151  0.65849877  1.29785124  0.39356548  0.07956521  0.87413658
  0.5874195   0.38243498  0.66132247  0.71789475  0.77130217  0.58770416
  0.65021055  0.29265741  0.61679681  0.83829721 -0.06998692  0.51155813]"
"('cross_12_0', 'para_12_0', 'nbo_atom_1')",0.8676482702400945,0.8392871852915433,0.7148829820849076,0.17419869732915907,0.2258420041997125,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[-0.01928126  0.09119207  1.39895505  0.49131804 -0.06049139  1.13436287
  0.56059153  0.49361011  0.70522946  0.88673134  0.98388513  0.68410779
  0.62025359  0.21864338  0.22303957  0.76981934  0.15649749  0.77733589]"
"('cross_12_0', 'para_12_0', 'nbo_atom_23')",0.598483080836812,0.5124437410161289,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[ 0.23211837  0.21435335  1.32331485  0.41891045 -0.05072298  0.90296734
  0.67060396  0.36329023  0.78691672  0.70164143  0.92872965  0.59554953
  0.91003991  0.57782851  0.61687723  0.31742699  0.17987949  0.42607495]"
"('cross_12_0', 'para_12_0', 'nbo_atom_3')",0.8622675283460234,0.832753427277314,0.7984531265065431,0.16785554425671265,0.1898808564790738,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[-0.01322193  0.19852827  1.31199974  0.531633   -0.12851473  1.15503512
  0.58234862  0.42408287  0.65781203  0.90383051  0.90936     0.66286609
  0.4552018   0.17820943  0.27705252  0.95371247  0.17462415  0.88124003]"
"('cross_12_0', 'para_12_0', 'hirshfeld_atom_8')",0.34444170084543724,0.20396492245517372,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.55994011 0.44956082 0.80055103 0.63069028 0.19309167 0.70426188
 0.65208096 0.38543561 0.54497558 0.78069818 0.53999644 0.69783059
 0.09193227 0.04472139 0.73103644 1.04511685 0.55491859 0.7089613 ]"
"('cross_12_0', 'para_12_0', 'hirshfeld_atom_1')",0.28528568051814873,0.13213261205775206,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.21519265 0.42864734 1.04816288 0.48007662 0.50805797 0.66697192
 0.31401849 0.6273734  0.38265175 0.71709835 0.55504132 0.62176568
 0.54062615 0.17269076 0.47898307 0.97832263 0.56174411 0.81837491]"
"('cross_12_0', 'para_12_0', 'hirshfeld_atom_23')",0.8036394292989004,0.7615621641486647,0.4894681779596243,0.2305086295191151,0.30220702661120186,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[ 0.21537707 -0.41119649  1.20389174  0.51234229 -0.05575821  1.03526088
  0.70790833  0.47118201  0.83028071  0.82748411  1.01567535  0.70246968
  0.64426464  0.44948866  0.43996037  0.55038942  0.31876166  0.6580178 ]"
"('cross_12_0', 'para_12_0', 'hirshfeld_atom_3')",0.8798676674143521,0.8541250247174275,0.7974874212948997,0.17950684249343146,0.19033521680385315,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[ 0.05316119  0.16047176  1.22345065  0.59416792 -0.15635508  1.17777433
  0.63172219  0.40455269  0.67419493  0.95572112  0.90383253  0.70936888
  0.3066683   0.08246535  0.30360337  0.9823443   0.23437325  0.87428232]"
"('cross_12_0', 'para_12_0', 'cm5_atom_8')",0.47387757945774245,0.36113706077011576,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[ 0.46507021  0.53863658  0.90924127  0.62829711  0.07508567  0.81689564
  0.6696054   0.36636126  0.57760791  0.83847233  0.61774251  0.70470928
  0.07175403 -0.02713405  0.64238237  1.10474495  0.3993625   0.71696502]"
"('cross_12_0', 'para_12_0', 'cm5_atom_1')",0.33197984531759794,0.18883266931422604,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.2529053  0.28743045 0.97837985 0.53125884 0.49171201 0.70251965
 0.34746149 0.63054337 0.39826296 0.76799539 0.56642016 0.66307453
 0.41029645 0.11054479 0.47473847 1.05825153 0.5860998  0.85790498]"
